    YEAR          X        Y        Z      X_SIG    Y_SIG    Z_SIG
 1998.092560   19.185    0.809   -4.676    1.470    1.084    3.399
 1998.243124   16.592    0.015  -11.827    1.464    1.248    3.705
 1998.411435   14.986   -3.349  -17.751    1.576    1.494    3.780
 1998.578346   12.231    0.227  -23.136    1.404    1.163    3.599
 1998.740328   14.331    2.320  -18.609    1.458    1.376    3.288
 1998.901971   15.473    2.538  -12.789    1.468    1.192    3.215
 1999.071842   17.696    2.300  -15.124    1.468    1.104    2.875
 1999.231571   16.250   -1.883  -12.279    1.545    1.210    3.027
 1999.397860   15.230   -1.616  -17.648    1.407    1.082    2.689
 1999.562235   13.824   -0.143  -23.476    1.531    1.336    5.146
 1999.732511   13.217    2.020  -15.497    1.376    1.103    2.866
 1999.889880   12.421    1.121  -11.593    1.223    1.434    2.597
 2000.063949   17.039   -1.074   -9.810    1.376    0.954    2.577
 2000.217245   14.057   -2.111  -12.447    1.470    1.284    2.796
 2000.387156   15.085   -2.479  -16.129    1.414    1.029    2.377
 2000.549026   13.199   -3.148  -20.846    1.421    1.075    2.520
 2000.706962   11.086    1.475  -23.869    1.294    1.046    2.285
 2000.880861   14.610    2.563  -16.221    1.431    1.247    2.788
 2001.039195   16.539    1.563   -9.849    1.436    1.140    2.857
 2001.201825   16.091   -2.451  -11.148    1.815    1.168    2.868
 2001.374998   15.262   -1.981  -20.025    1.342    1.442    4.297
 2001.534366   12.799   -1.709  -18.232    1.170    1.824    2.254
 2001.701353   11.352    1.277  -16.178    1.789    0.906    2.175
 2001.853098   15.873    3.201  -15.580    1.265    1.027    2.115
 2002.029248   18.420    4.293  -19.633    1.362    1.078    2.100
 2002.193096   16.049   -1.100  -11.677    1.328    0.991    1.988
 2002.354883   15.536   -2.498  -13.697    1.246    1.078    2.412
 2002.514081   12.638   -3.747  -21.082    1.389    1.119    2.064
 2002.684626   12.783    0.954  -16.060    1.447    1.082    2.337
 2002.846523   11.701    1.228  -11.462    1.235    1.010    2.573
 2003.020728   16.474    1.467  -10.351    1.359    1.141    2.781
 2003.178185   17.198    0.942  -11.531    1.157    0.921    2.133
 2003.347345   15.835   -3.239  -11.710    1.331    1.080    2.576
 2003.502772   16.161   -2.851  -17.251    1.676    0.928    1.857
 2003.666888   14.188    0.373  -12.521    1.126    0.911    1.955
 2003.824671   16.897    3.404  -11.517    1.245    1.048    2.384
 2003.999418   15.685    1.244   -9.165    1.336    1.064    2.834
 2004.154702   18.076   -0.211   -6.554    1.420    1.045    2.594
 2004.331067   13.625   -2.747  -12.619    1.460    1.101    2.339
 2004.493077   14.754   -3.347  -12.986    1.567    1.354    2.636
 2004.655861   12.094    0.349  -16.390    1.361    1.052    2.267
 2004.821147   15.468   -0.907  -15.059    1.584    1.151    2.132
 2004.984274   18.169    1.275  -13.570    1.409    0.858    1.790
 2005.142828   19.050   -1.418   -9.310    1.476    1.122    2.320
 2005.315006   16.716   -3.941   -9.466    1.426    0.964    1.957
 2005.473830   15.044   -3.903  -17.580    1.398    0.852    1.829
 2005.642457   10.542   -0.371  -17.457    1.279    0.862    1.805
 2005.806924   12.033    0.850  -14.411    1.182    0.852    1.913
 2005.962351   14.036    2.233  -15.190    1.306    0.915    1.947
 2006.127541   14.994    0.275  -14.844    1.297    0.909    1.908
 2006.301239   15.311   -2.434  -13.922    1.302    0.940    1.768
 2006.466688   14.799   -2.120  -18.262    1.027    0.729    1.465
 2006.620314   12.818   -0.152  -22.324    1.100    0.802    1.565
 2006.789257   15.439    2.010  -15.679    1.438    0.788    1.601
 2006.946522   17.273    2.371  -13.169    1.030    0.848    1.903
 2007.126662   16.653   -0.443  -13.272    1.038    0.834    1.806
 2007.281452   14.804   -2.612  -13.664    0.971    0.742    1.694
 2007.441481   15.428   -2.448  -17.983    1.028    0.867    1.678
 2007.605486   12.579   -0.361  -19.231    1.039    0.810    1.655
 2007.773008   16.232    1.780  -12.730    1.056    0.791    1.636
 2007.940738   14.759    2.764  -13.958    1.129    0.949    1.810
 2008.101710   16.998    2.070  -12.080    1.074    0.876    1.700
 2008.273463   15.980   -1.472  -13.264    1.102    0.955    1.904
 2008.432773   15.273   -2.256  -14.899    1.118    0.920    1.859
 2008.600243   11.276    0.763  -19.534    1.108    0.828    1.870
 2008.760675   14.175    2.426  -14.937    1.089    0.852    1.760
 2008.921293   15.817    3.361  -13.421    1.141    1.013    2.035
 2009.083304   15.892    0.073  -10.518    1.023    0.915    1.935
 2009.254645   17.854   -2.023  -10.466    1.027    0.851    1.698
 2009.411692   17.698   -3.341  -16.775    1.136    0.910    1.870
 2009.589903   13.117   -3.158  -16.109    1.067    0.810    1.721
 2009.742424   13.233    0.652  -15.257    1.050    0.770    1.521
 2009.903016   16.441    1.962  -13.902    1.123    0.916    1.971
 2010.077883   15.543    0.061  -12.864    1.168    1.221    2.057
 2010.238121   16.430    0.004  -11.680    1.209    0.840    1.786
 2010.406673   14.807   -1.969  -16.962    1.280    1.298    1.952
 2010.567919   13.542    1.005  -18.701    1.213    0.829    1.559
